,price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus
0,13300000,7420.0,4.0,2.0,3.0,yes,no,no,no,yes,2.0,yes,furnished
1,12250000,8960.0,4.0,4.0,4.0,yes,no,no,no,yes,3.0,no,furnished
2,12250000,9960.0,3.0,2.0,2.0,yes,no,yes,no,no,2.0,yes,semi-furnished
3,12215000,7500.0,4.0,2.0,2.0,yes,no,yes,no,yes,3.0,yes,furnished
4,11410000,7420.0,4.0,1.0,2.0,yes,yes,yes,no,yes,2.0,no,furnished
5,10850000,7500.0,3.0,3.0,1.0,yes,no,yes,no,yes,2.0,yes,semi-furnished
6,10150000,8580.0,3.0,3.0,4.0,yes,no,no,no,yes,2.0,yes,semi-furnished
7,10150000,16200.0,5.0,3.0,2.0,yes,no,no,no,no,0.0,no,unfurnished
8,9870000,8100.0,4.0,1.0,2.0,yes,yes,yes,no,yes,2.0,yes,furnished
9,9800000,5123.0,3.0,2.0,4.0,yes,yes,no,no,yes,1.0,yes,unfurnished
10,9800000,13200.0,3.0,1.0,2.0,yes,no,yes,no,yes,2.0,yes,furnished
11,9681000,6000.0,4.0,3.0,2.0,yes,yes,yes,no,no,2.0,no,semi-furnished
12,9310000,6550.0,4.0,1.0,2.0,yes,no,no,no,yes,1.0,yes,semi-furnished
13,9240000,3500.0,3.0,2.0,2.0,yes,no,no,no,no,2.0,no,furnished
14,9240000,7800.0,3.0,2.0,2.0,yes,no,no,no,no,0.0,yes,semi-furnished
15,9100000,6000.0,4.0,1.0,2.0,yes,no,yes,no,no,2.0,no,semi-furnished
16,9100000,6600.0,4.0,2.0,2.0,yes,yes,yes,no,yes,1.0,yes,unfurnished
17,8960000,8500.0,3.0,2.0,4.0,yes,no,no,no,yes,2.0,no,furnished
18,8890000,4600.0,3.0,2.0,2.0,yes,yes,no,no,yes,2.0,no,furnished
19,8855000,6420.0,3.0,2.0,2.0,yes,no,no,no,yes,1.0,yes,semi-furnished
20,8750000,4320.0,3.0,1.0,2.0,yes,no,yes,yes,no,2.0,no,semi-furnished
21,8680000,7155.0,3.0,2.0,1.0,yes,yes,yes,no,yes,2.0,no,unfurnished
22,8645000,8050.0,3.0,1.0,1.0,yes,yes,yes,no,yes,1.0,no,furnished
23,8645000,4560.0,3.0,2.0,2.0,yes,yes,yes,no,yes,1.0,no,furnished
24,8575000,8800.0,3.0,2.0,2.0,yes,no,no,no,yes,2.0,no,furnished
25,8540000,6540.0,4.0,2.0,2.0,yes,yes,yes,no,yes,2.0,yes,furnished
26,8463000,6000.0,3.0,1.0,2.0,yes,yes,yes,no,yes,0.0,yes,semi-furnished
27,8400000,8875.0,3.0,1.0,1.0,yes,no,no,no,no,1.0,no,semi-furnished
28,8400000,7950.0,5.0,2.0,2.0,yes,no,yes,yes,no,2.0,no,unfurnished
29,8400000,5500.0,4.0,2.0,2.0,yes,no,yes,no,yes,1.0,yes,semi-furnished
30,8400000,7475.0,3.0,2.0,4.0,yes,no,no,no,yes,2.0,no,unfurnished
31,8400000,7000.0,3.0,1.0,4.0,yes,no,no,no,yes,2.0,no,semi-furnished
32,8295000,4880.0,4.0,2.0,2.0,yes,no,no,no,yes,1.0,yes,furnished
33,8190000,5960.0,3.0,3.0,2.0,yes,yes,yes,no,no,1.0,no,unfurnished
34,8120000,6840.0,5.0,1.0,2.0,yes,yes,yes,no,yes,1.0,no,furnished
35,8080940,7000.0,3.0,2.0,4.0,yes,no,no,no,yes,2.0,no,furnished
36,8043000,7482.0,3.0,2.0,3.0,yes,no,no,yes,no,1.0,yes,furnished
37,7980000,9000.0,4.0,2.0,4.0,yes,no,no,no,yes,2.0,no,furnished
38,7962500,6000.0,3.0,1.0,4.0,yes,yes,no,no,yes,2.0,no,unfurnished
39,7910000,6000.0,4.0,2.0,4.0,yes,no,no,no,no,1.0,no,semi-furnished
40,7875000,6550.0,3.0,1.0,2.0,yes,no,yes,no,yes,0.0,yes,furnished
41,7840000,6360.0,3.0,2.0,4.0,yes,no,no,no,yes,0.0,yes,semi-furnished
42,7700000,6480.0,3.0,2.0,4.0,yes,no,no,no,yes,2.0,no,unfurnished
43,7700000,6000.0,4.0,2.0,4.0,yes,no,no,no,no,0.0,no,semi-furnished
44,7560000,5123.0,4.0,2.0,4.0,yes,no,no,no,yes,1.0,no,semi-furnished
45,7560000,6000.0,3.0,2.0,3.0,yes,no,no,no,yes,0.0,no,semi-furnished
46,7525000,6000.0,3.0,2.0,4.0,yes,no,no,no,yes,1.0,no,furnished
47,7490000,6600.0,3.0,1.0,4.0,yes,no,no,no,yes,3.0,yes,furnished
48,7455000,4300.0,3.0,2.0,2.0,yes,no,yes,no,no,1.0,no,unfurnished
49,7420000,7440.0,3.0,2.0,1.0,yes,yes,yes,no,yes,0.0,no,semi-furnished
50,7420000,7440.0,3.0,2.0,4.0,yes,no,no,no,no,1.0,yes,semi-furnished
51,7420000,6325.0,3.0,1.0,4.0,yes,no,no,no,yes,1.0,no,unfurnished
52,7350000,5123.0,4.0,2.0,4.0,yes,no,no,no,yes,1.0,no,furnished
53,7350000,5150.0,3.0,2.0,4.0,yes,no,no,no,yes,2.0,no,semi-furnished
54,7350000,6000.0,3.0,2.0,2.0,yes,yes,no,no,yes,1.0,no,semi-furnished
55,7350000,6000.0,3.0,1.0,2.0,yes,no,no,no,yes,1.0,no,unfurnished
56,7343000,11440.0,4.0,1.0,2.0,yes,no,yes,no,no,1.0,yes,semi-furnished
57,7245000,9000.0,4.0,2.0,4.0,yes,yes,no,no,yes,1.0,yes,furnished
58,7210000,7680.0,4.0,2.0,4.0,yes,yes,no,no,yes,1.0,no,semi-furnished
59,7210000,6000.0,3.0,2.0,4.0,yes,yes,no,no,yes,1.0,no,furnished
60,7140000,6000.0,3.0,2.0,2.0,yes,yes,no,no,no,1.0,no,semi-furnished
61,7070000,8880.0,2.0,1.0,1.0,yes,no,no,no,yes,0.0,no,semi-furnished
62,7070000,6240.0,4.0,2.0,2.0,yes,no,no,no,yes,1.0,no,furnished
63,7035000,6360.0,4.0,2.0,3.0,yes,no,no,no,yes,2.0,yes,furnished
64,7000000,5123.0,3.0,1.0,1.0,yes,no,yes,no,yes,1.0,yes,furnished
